2;,1,Acrelândia,39331,Centro,1200013,AC,1
3;,2,Assis Brasil,39329,Centro,1200054,AC,1
4;,3,Brasiléia,39327,Centro,1200104,AC,1
5;,4,Bujari,39321,Centro,1200138,AC,1
6;,5,Capixaba,51785,Conquista,1200179,AC,1
7;,5,Capixaba,39323,Centro,1200179,AC,1
8;,6,Cruzeiro do Sul,58032,Comunidade Santa Luzia,1200203,AC,1
9;,6,Cruzeiro do Sul,39337,Centro,1200203,AC,1
10;,7,Epitaciolândia,39328,Centro,1200252,AC,1
11;,8,Feijó,39334,Centro,1200302,AC,1
12;,9,Jordăo,39336,Centro,1200328,AC,1
13;,10,Mâncio Lima,39341,Centro,1200336,AC,1
14;,11,Manoel Urbano,39332,Centro,1200344,AC,1
15;,12,Marechal Thaumaturgo,39339,Centro,1200351,AC,1
16;,13,Plácido de Castro,39325,Centro,1200385,AC,1
17;,14,Porto Acre,39322,Centro,1200807,AC,1
18;,15,Porto Walter,39322,Centro,1200393,AC,1
19;,16,Rio Branco,24,Estaçăo Experimental,1200401,AC,1
20;,16,Rio Branco,22,Distrito Industrial,1200401,AC,1
21;,16,Rio Branco,20,Conquista,1200401,AC,1
22;,16,Rio Branco,19,Chácara Ipę,1200401,AC,1
23;,16,Rio Branco,18,Cerâmica,1200401,AC,1
24;,16,Rio Branco,17,Centro,1200401,AC,1
25;,16,Rio Branco,16,Capoeira,1200401,AC,1
26;,16,Rio Branco,15,Calafate,1200401,AC,1
27;,16,Rio Branco,14,Cadeia Velha,1200401,AC,1
28;,16,Rio Branco,13,Cidade Nova,1200401,AC,1
29;,16,Rio Branco,12,Bosque,1200401,AC,1
30;,16,Rio Branco,51,Sobral,1200401,AC,1
31;,16,Rio Branco,10,Base,1200401,AC,1
32;,16,Rio Branco,52,Tancredo Neves,1200401,AC,1
33;,16,Rio Branco,9,Baixa da Colina,1200401,AC,1
34;,16,Rio Branco,8,Bahia Nova,1200401,AC,1
35;,16,Rio Branco,7,Bahia Velha,1200401,AC,1
36;,16,Rio Branco,6,Aviário,1200401,AC,1
37;,16,Rio Branco,5,Areal,1200401,AC,1
38;,16,Rio Branco,3,Aeroporto Velho,1200401,AC,1
39;,16,Rio Branco,2,Adalberto Aragăo,1200401,AC,1
40;,16,Rio Branco,55386,Dom Giocondo,1200401,AC,1
41;,16,Rio Branco,55451,Boa Esperança,1200401,AC,1
42;,16,Rio Branco,55450,Vilage Wilde Maciel,1200401,AC,1
43;,16,Rio Branco,55449,Jardim Manoel Juliăo,1200401,AC,1
44;,16,Rio Branco,55448,Conjunto Manoel Juliăo,1200401,AC,1
45;,16,Rio Branco,55447,Doca Furtado,1200401,AC,1
46;,16,Rio Branco,55445,7ş BEC,1200401,AC,1
47;,16,Rio Branco,55444,Jardim Nazle,1200401,AC,1
48;,16,Rio Branco,55443,Conjunto Mascarenhas de Moraes,1200401,AC,1
49;,16,Rio Branco,53,Taquarí,1200401,AC,1
50;,16,Rio Branco,55442,Conjunto Universitário,1200401,AC,1
51;,16,Rio Branco,55441,Pedro Roseno,1200401,AC,1
52;,16,Rio Branco,55440,Conjunto Jardim Universitário,1200401,AC,1
53;,16,Rio Branco,55439,Portal da Amazônia,1200401,AC,1
54;,16,Rio Branco,55438,Conjunto Habitar Brasil,1200401,AC,1
55;,16,Rio Branco,55437,Residencial Araçá,1200401,AC,1
56;,16,Rio Branco,55436,LBA Vila Betel ll,1200401,AC,1
57;,16,Rio Branco,55435,Nova Esperança,1200401,AC,1
58;,16,Rio Branco,55434,Conjunto Esperança,1200401,AC,1
59;,16,Rio Branco,55433,Loteamento Ipanema,1200401,AC,1
60;,16,Rio Branco,60645,Vila Custódio Freire,1200401,AC,1
61;,16,Rio Branco,55389,Casa Nova,1200401,AC,1
62;,16,Rio Branco,32,José Augusto,1200401,AC,1
63;,16,Rio Branco,36,Morada do Sol,1200401,AC,1
64;,16,Rio Branco,37,Nova Estaçăo,1200401,AC,1
65;,16,Rio Branco,38,Novo Horizonte,1200401,AC,1
66;,16,Rio Branco,40,Papouco,1200401,AC,1
67;,16,Rio Branco,41,Placas,1200401,AC,1
68;,16,Rio Branco,42,Plácido de Castro,1200401,AC,1
69;,16,Rio Branco,48,Săo Francisco,1200401,AC,1
70;,16,Rio Branco,30,Jardim de Alah,1200401,AC,1
71;,16,Rio Branco,43,Preventório,1200401,AC,1
72;,16,Rio Branco,47,Santa Quitéria,1200401,AC,1
73;,16,Rio Branco,46,Santa Inęs,1200401,AC,1
74;,16,Rio Branco,45,Quinze,1200401,AC,1
75;,16,Rio Branco,29,Isaura Parente,1200401,AC,1
76;,16,Rio Branco,27,Ipase,1200401,AC,1
77;,16,Rio Branco,26,Geraldo Fleming,1200401,AC,1
78;,16,Rio Branco,55474,Vila Nova,1200401,AC,1
79;,16,Rio Branco,55475,Loteamento Novo Horizonte,1200401,AC,1
80;,16,Rio Branco,51880,Alto Alegre,1200401,AC,1
81;,16,Rio Branco,55387,Conjunto Jardim Săo Francisco,1200401,AC,1
82;,16,Rio Branco,55393,Loteamento Jardim Săo Francisco,1200401,AC,1
83;,16,Rio Branco,55497,Raimundo Melo,1200401,AC,1
84;,16,Rio Branco,55392,Vitória,1200401,AC,1
85;,16,Rio Branco,55391,Conjunto Oscar Passos,1200401,AC,1
86;,16,Rio Branco,55390,Conjunto Guiomard Santos,1200401,AC,1
87;,16,Rio Branco,55388,Jardim Tropical,1200401,AC,1
88;,16,Rio Branco,55,Triângulo Novo,1200401,AC,1
89;,16,Rio Branco,50460,Loteamento Santo Afonso,1200401,AC,1
90;,16,Rio Branco,1,Abraăo Alab,1200401,AC,1
91;,16,Rio Branco,39,Palheiral,1200401,AC,1
92;,16,Rio Branco,57,Vila Acre,1200401,AC,1
93;,16,Rio Branco,25,Floresta Sul,1200401,AC,1
94;,16,Rio Branco,50,Seis de Agosto,1200401,AC,1
95;,16,Rio Branco,60625,Vila Santa Cecília,1200401,AC,1
96;,16,Rio Branco,55452,Jardim América,1200401,AC,1
97;,16,Rio Branco,33,Joăo Eduardo I,1200401,AC,1
98;,16,Rio Branco,28,Ivete Vargas,1200401,AC,1
99;,16,Rio Branco,55432,Tangará,1200401,AC,1
100;,16,Rio Branco,55431,Ilson Ribeiro,1200401,AC,1
101;,16,Rio Branco,55480,Irineu Serra,1200401,AC,1
102;,16,Rio Branco,55479,Jorge Lavocat,1200401,AC,1
103;,16,Rio Branco,55478,Defesa Civil,1200401,AC,1
104;,16,Rio Branco,55477,Montanhęs,1200401,AC,1
105;,16,Rio Branco,55430,Conjunto Laélia Alcântara,1200401,AC,1
106;,16,Rio Branco,55476,Conjunto Adalberto Sena,1200401,AC,1
107;,16,Rio Branco,55429,Waldemar Maciel,1200401,AC,1
108;,16,Rio Branco,60450,Cidade do Povo,1200401,AC,1
109;,16,Rio Branco,57389,Vila Aeroporto,1200401,AC,1
110;,16,Rio Branco,55428,Vilage Tiradentes,1200401,AC,1
111;,16,Rio Branco,60815,Vila Verde,1200401,AC,1
112;,16,Rio Branco,59898,Área Rural de Rio Branco,1200401,AC,1
113;,16,Rio Branco,66491,Vila Ivonete,1200401,AC,1
114;,16,Rio Branco,49922,Paz,1200401,AC,1
115;,16,Rio Branco,60627,Vila Liberdade,1200401,AC,1
116;,16,Rio Branco,60626,Vila Albert Sampaio,1200401,AC,1
117;,16,Rio Branco,55456,Horto Florestal,1200401,AC,1
118;,16,Rio Branco,55457,Residencial Iolanda,1200401,AC,1
119;,16,Rio Branco,55459,Loteamento Isaura Parente,1200401,AC,1
120;,16,Rio Branco,55460,Loteamento dos Engenheiros,1200401,AC,1
121;,16,Rio Branco,55427,Boa Vista,1200401,AC,1
